herb_id,herb_name_en,botanical_name,image_url,page_url
HERB-0064,Ox knee root,Achyranthes bidentata,https://upload.wikimedia.org/wikipedia/commons/thumb/7/76/Achyranthes_bidentata.jpg/250px-Achyranthes_bidentata.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,https://en.wikipedia.org/wiki/Achyranthes_bidentata
HERB-0065,Pubescent angelica root,Angelica pubescens,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dd/Angelica_pubescens_-_Flickr_-_odako1.jpg/250px-Angelica_pubescens_-_Flickr_-_odako1.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,https://en.wikipedia.org/wiki/Angelica_pubescens
HERB-0067,Saposhnikovia root,Saposhnikovia divaricata,https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Saposhnikovia.jpg/250px-Saposhnikovia.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,https://en.wikipedia.org/wiki/Saposhnikovia
HERB-0068,Epimedium,Epimedium brevicornu,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2a/Elfenblume_%28Epimedium_x_versicolor%29.jpg/250px-Elfenblume_%28Epimedium_x_versicolor%29.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,https://en.wikipedia.org/wiki/Epimedium
HERB-0069,Cistanche stem,Cistanche deserticola,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b7/%D0%A0%D1%96%D0%B4%D0%BA%D1%96%D1%81%D0%BD%D0%B0_%D1%80%D0%BE%D1%81%D0%BB%D0%B8%D0%BD%D0%B0-%D0%BF%D0%B0%D1%80%D0%B0%D0%B7%D0%B8%D1%82_%D0%A6%D1%96%D1%81%D1%82%D0%B0%D0%BD%D1%85%D0%B5_%28Cistanche_deserticola%29%2C_%D0%BF%D0%B0%D1%80%D0%B0%D0%B7%D0%B8%D1%82%D1%83%D1%94_%D0%BD%D0%B0_%D0%BA%D0%BE%D1%80%D0%B5%D0%BD%D1%8F%D1%85_%D1%81%D0%B0%D0%BA%D1%81%D0%B0%D1%83%D0%BB%D1%96%D0%B2_%28Hal%C3%B3xylon%29%2C_%D0%93%D0%BE%D0%B1%D1%96.jpg/250px-thumbnail.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,https://en.wikipedia.org/wiki/Cistanche_deserticola
HERB-0072,Black sesame seed,Sesamum indicum,https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/Sesamum_indicum_-_K%C3%B6hler%E2%80%93s_Medizinal-Pflanzen-129.jpg/250px-Sesamum_indicum_-_K%C3%B6hler%E2%80%93s_Medizinal-Pflanzen-129.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,https://en.wikipedia.org/wiki/Sesame
HERB-0073,Walnut,Juglans regia,https://upload.wikimedia.org/wikipedia/commons/thumb/7/74/Noyer_centenaire_en_automne.JPG/250px-Noyer_centenaire_en_automne.JPG?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,https://en.wikipedia.org/wiki/Juglans_regia
HERB-0074,Longan fruit,Dimocarpus longan,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Longan_tree_at_Pine_Island_Nursery.jpg/250px-Longan_tree_at_Pine_Island_Nursery.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,https://en.wikipedia.org/wiki/Longan
HERB-0075,Ginkgo,Ginkgo biloba,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/GINKGOBAUM-2.jpg/250px-GINKGOBAUM-2.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,https://en.wikipedia.org/wiki/Ginkgo_biloba
HERB-0076,St. John's wort,Hypericum perforatum,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cf/%28MHNT%29_Hypericum_perforatum_flower_and_buttons.jpg/250px-%28MHNT%29_Hypericum_perforatum_flower_and_buttons.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,https://en.wikipedia.org/wiki/Hypericum_perforatum
HERB-0077,Kava,Piper methysticum,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Starr_070515-7054_Piper_methysticum.jpg/250px-Starr_070515-7054_Piper_methysticum.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,https://en.wikipedia.org/wiki/Kava
HERB-0078,Black cohosh,Actaea racemosa,https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/Actaea_racemosa_002.JPG/250px-Actaea_racemosa_002.JPG?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,https://en.wikipedia.org/wiki/Actaea_racemosa
